Date,Open,High,Low,Close,Adj Close,Volume
2007-01-01,12.327143,12.368571,11.700000,12.150000,8.225021,730080400
2007-01-08,12.280000,13.971429,12.164286,13.517143,9.150518,2463057100
2007-01-15,13.668571,13.942857,12.588572,12.642858,8.558665,1654853900
2007-01-22,12.734285,12.737143,12.141429,12.197143,8.256936,1370527900
2007-01-29,12.328571,12.378572,11.957143,12.107142,8.196008,905394000
2007-02-05,12.042857,12.358571,11.837143,11.895715,8.052883,1012410700
2007-02-12,12.061429,12.234285,11.947143,12.118571,8.203746,644142100
2007-02-19,12.092857,12.972857,12.022857,12.724286,8.613790,782283600
2007-02-26,12.834286,12.857142,11.857142,12.201428,8.259837,1239166600
2007-03-05,12.270000,12.710000,12.251429,12.567142,8.507408,787804500
2007-03-12,12.581429,12.942857,12.560000,12.798572,8.664076,881272000
2007-03-19,12.891429,13.480000,12.798572,13.360000,9.044138,725287500
2007-03-26,13.427143,13.832857,13.175714,13.272857,8.985147,1016414700
2007-04-02,13.448571,13.604285,13.288571,13.525714,9.156321,479556700
2007-04-09,13.601429,13.614285,12.865714,12.891429,8.726936,672861000
2007-04-16,12.938571,13.185715,12.800000,12.995714,8.797533,693422800
2007-04-23,13.084286,14.642858,13.042857,14.274285,9.663072,1364967100
2007-04-30,14.298572,14.514286,14.078571,14.401428,9.749140,653060800
2007-05-07,14.440000,15.590000,14.430000,15.534286,10.516035,1053566500
2007-05-14,15.660000,15.805715,14.774285,15.717143,10.639823,1022466200
2007-05-21,15.758572,16.428572,15.721429,16.231428,10.987971,910999600
2007-05-28,16.350000,17.452858,16.098572,16.914286,11.450237,1076616800
2007-06-04,16.947144,18.230000,16.842857,17.784286,12.039188,1519115500
2007-06-11,18.000000,18.021429,16.485714,17.214285,11.653324,1701665700
2007-06-18,17.611429,17.882856,17.245714,17.571428,11.895093,1062516000
2007-06-25,17.741428,17.870001,16.959999,17.434286,11.802254,1315272700
2007-07-02,17.292856,19.048571,17.042856,18.900000,12.794478,1121272600
2007-07-09,18.911428,19.692858,18.401428,19.675714,13.319602,1171203600
2007-07-16,19.770000,20.597143,19.434286,20.535715,13.901785,1075898600
2007-07-23,20.472857,21.274286,19.164286,20.549999,13.911457,1918923300
2007-07-30,20.618572,20.778572,18.252857,18.835714,12.750957,1537842600
2007-08-06,18.985714,19.605715,17.185715,17.857143,12.088511,1304837100
2007-08-13,18.331429,18.478571,15.945714,17.437143,11.804188,1386630700
2007-08-20,17.708570,19.338572,17.214285,19.328571,13.084603,1236700500
